images_list,label
/content/drive/MyDrive/1/video_364/image_1.jpg,1
/content/drive/MyDrive/1/video_364/image_2.jpg,1
/content/drive/MyDrive/1/video_364/image_3.jpg,1
/content/drive/MyDrive/1/video_364/image_4.jpg,1
/content/drive/MyDrive/1/video_364/image_5.jpg,1
/content/drive/MyDrive/1/video_364/image_6.jpg,1
/content/drive/MyDrive/1/video_364/image_7.jpg,1
/content/drive/MyDrive/1/video_364/image_8.jpg,1
/content/drive/MyDrive/1/video_364/image_9.jpg,1
/content/drive/MyDrive/1/video_364/image_10.jpg,1
/content/drive/MyDrive/1/video_364/image_11.jpg,1
/content/drive/MyDrive/1/video_364/image_12.jpg,1
/content/drive/MyDrive/1/video_364/image_13.jpg,1
/content/drive/MyDrive/1/video_364/image_14.jpg,1
/content/drive/MyDrive/1/video_364/image_15.jpg,1
/content/drive/MyDrive/1/video_364/image_16.jpg,1
/content/drive/MyDrive/1/video_364/image_17.jpg,1
/content/drive/MyDrive/1/video_364/image_18.jpg,1
/content/drive/MyDrive/1/video_364/image_19.jpg,1
/content/drive/MyDrive/1/video_364/image_20.jpg,1
/content/drive/MyDrive/1/video_364/image_21.jpg,1
/content/drive/MyDrive/1/video_364/image_22.jpg,1
/content/drive/MyDrive/1/video_364/image_23.jpg,1
/content/drive/MyDrive/1/video_364/image_24.jpg,1
/content/drive/MyDrive/1/video_364/image_25.jpg,1
/content/drive/MyDrive/1/video_286/image_1.jpg,1
/content/drive/MyDrive/1/video_286/image_2.jpg,1
/content/drive/MyDrive/1/video_286/image_3.jpg,1
/content/drive/MyDrive/1/video_286/image_4.jpg,1
/content/drive/MyDrive/1/video_286/image_5.jpg,1
/content/drive/MyDrive/1/video_286/image_6.jpg,1
/content/drive/MyDrive/1/video_286/image_7.jpg,1
/content/drive/MyDrive/1/video_286/image_8.jpg,1
/content/drive/MyDrive/1/video_286/image_9.jpg,1
/content/drive/MyDrive/1/video_286/image_10.jpg,1
/content/drive/MyDrive/1/video_286/image_11.jpg,1
/content/drive/MyDrive/1/video_286/image_12.jpg,1
/content/drive/MyDrive/1/video_286/image_13.jpg,1
